Iteration,Test_Top1_Accuracy(%)
1,92.41
2,90.19
3,89.43
4,85.46
5,80.79
6,75.09
7,66.36
8,61.92
9,57.91
10,53.57
11,48.85
12,43.81
13,38.98
14,34.76
15,31.34
