Iteration,Test_Top1_Accuracy(%)
1,92.55
2,91.18
3,88.82
4,85.23
5,82.91
6,80.81
7,78.26
8,75.84
9,73.46
10,71.22
11,68.28
12,63.76
13,56.68
14,49.54
15,42.03
