Iteration,Test_Top1_Accuracy(%)
1,92.22
2,90.93
3,88.73
4,86.11
5,82.93
6,78.85
7,75.79
8,72.84
9,68.69
10,64.4
11,60.42
12,57.74
13,55.21
14,54.06
15,51.8
