Iteration,Test_Top1_Accuracy(%)
1,92.55
2,90.39
3,86.55
4,82.0
5,79.0
6,73.52
7,67.17
8,62.74
9,55.76
10,50.99
11,48.58
12,45.16
13,41.67
14,38.08
15,36.02
