Iteration,Test_Top1_Accuracy(%)
1,92.62
2,91.93
3,90.06
4,86.5
5,82.38
6,79.38
7,74.91
8,71.69
9,68.67
10,65.78
11,63.63
12,59.8
13,54.92
14,51.13
15,44.23
