Iteration,Test_Top1_Accuracy(%)
1,92.35
2,89.75
3,86.44
4,81.55
5,76.82
6,73.08
7,66.43
8,59.13
9,53.34
10,50.58
11,46.02
12,42.82
13,39.53
14,37.65
15,35.0
