Iteration,Test_Top1_Accuracy(%)
1,92.63
2,91.35
3,89.98
4,89.14
5,87.73
6,81.34
7,74.25
8,69.68
9,59.96
10,51.7
11,46.17
12,45.49
13,42.63
14,37.68
15,37.12
