Iteration,Test_Top1_Accuracy(%)
1,92.24
2,90.42
3,87.54
4,84.27
5,81.44
6,79.36
7,74.52
8,70.0
9,64.96
10,60.48
11,57.04
12,53.37
13,50.63
14,47.27
15,42.67
