Iteration,Test_Top1_Accuracy(%)
1,92.42
2,91.61
3,88.66
4,84.66
5,79.45
6,77.02
7,70.58
8,64.83
9,58.98
10,53.65
11,48.61
12,44.62
13,42.42
14,40.02
15,37.26
