Iteration,Test_Top1_Accuracy(%)
1,92.37
2,90.78
3,87.95
4,84.67
5,81.81
6,78.58
7,74.72
8,73.55
9,70.05
10,66.11
11,65.87
12,62.4
13,58.13
14,53.78
15,48.93
