Iteration,Test_Top1_Accuracy(%)
1,92.03
2,89.5
3,85.84
4,80.93
5,75.96
6,74.06
7,71.26
8,67.89
9,62.2
10,60.45
11,55.54
12,52.21
13,47.89
14,42.72
15,38.36
