Iteration,Test_Top1_Accuracy(%)
1,92.26
2,90.97
3,88.76
4,87.06
5,82.65
6,80.94
7,77.53
8,73.88
9,70.08
10,64.68
11,57.12
12,50.08
13,47.47
14,43.79
15,40.24
