Iteration,Test_Top1_Accuracy(%)
1,92.54
2,91.14
3,88.48
4,84.68
5,80.87
6,78.87
7,76.57
8,72.57
9,70.7
10,67.08
11,62.17
12,56.76
13,51.7
14,48.96
15,43.96
