Iteration,Test_Top1_Accuracy(%)
1,92.38
2,90.27
3,87.52
4,84.52
5,80.91
6,78.89
7,77.07
8,74.7
9,70.54
10,66.33
11,61.96
12,57.57
13,53.06
14,50.55
15,48.39
