Iteration,Test_Top1_Accuracy(%)
1,92.35
2,90.91
3,87.69
4,83.02
5,77.29
6,70.1
7,65.94
8,61.83
9,55.67
10,51.46
11,48.71
12,45.56
13,44.18
14,43.72
15,42.1
