Iteration,Test_Top1_Accuracy(%)
1,91.81
2,88.4
3,83.26
4,77.39
5,72.07
6,66.87
7,62.69
8,60.99
9,58.05
10,54.3
11,51.04
12,47.13
13,43.1
14,42.44
15,39.74
