Iteration,Test_Top1_Accuracy(%)
1,92.33
2,90.59
3,88.11
4,84.22
5,79.74
6,75.12
7,71.12
8,67.94
9,64.48
10,61.35
11,57.33
12,53.77
13,49.73
14,46.19
15,42.44
