Iteration,Test_Top1_Accuracy(%)
1,91.8
2,88.55
3,84.07
4,78.21
5,71.57
6,65.19
7,63.84
8,60.17
9,55.75
10,47.45
11,43.62
12,40.33
13,36.63
14,33.37
15,32.27
