Iteration,Test_Top1_Accuracy(%)
1,92.2
2,89.47
3,85.0
4,81.86
5,73.82
6,66.14
7,61.5
8,57.2
9,52.96
10,48.47
11,44.4
12,40.3
13,36.25
14,32.16
15,28.94
