Iteration,Test_Top1_Accuracy(%)
1,92.41
2,90.98
3,88.83
4,85.71
5,81.9
6,80.12
7,77.25
8,74.89
9,72.18
10,68.07
11,62.97
12,56.99
13,49.83
14,41.76
15,36.22
